0,"[np.float64(0.335), np.float64(0.32)]"
1,"[np.float64(0.315), np.float64(0.295)]"
2,"[np.float64(0.41), np.float64(0.41)]"
3,"[np.float64(0.185), np.float64(0.03)]"
4,"[np.float64(0.21), np.float64(0.195)]"
5,"[np.float64(0.335), np.float64(0.32)]"
6,"[np.float64(0.29), np.float64(0.27)]"
7,"[np.float64(0.215), np.float64(0.215)]"
8,"[np.float64(0.425), np.float64(0.445)]"
9,"[np.float64(0.43), np.float64(0.455)]"
10,"[np.float64(0.385), np.float64(0.38)]"
11,"[np.float64(0.305), np.float64(0.3)]"
12,"[np.float64(0.365), np.float64(0.38)]"
13,"[np.float64(0.36), np.float64(0.34)]"
14,"[np.float64(0.24), np.float64(0.21)]"
15,"[np.float64(0.335), np.float64(0.32)]"
16,"[np.float64(0.41), np.float64(0.34)]"
17,"[np.float64(0.345), np.float64(0.315)]"
18,"[np.float64(0.185), np.float64(0.03)]"
19,"[np.float64(0.42), np.float64(0.435)]"
