0,"[np.float64(0.06), np.float64(0.035)]"
1,"[0.0, 0.0]"
2,"[np.float64(0.05), np.float64(0.02)]"
3,"[np.float64(0.045), np.float64(0.02)]"
4,"[np.float64(0.02), np.float64(0.01)]"
5,"[np.float64(0.55), np.float64(0.515)]"
6,"[np.float64(0.55), np.float64(0.515)]"
7,"[np.float64(1.0), np.float64(1.0)]"
8,"[np.float64(0.06), np.float64(0.045)]"
9,"[np.float64(0.05), np.float64(0.02)]"
10,"[np.float64(0.05), np.float64(0.02)]"
11,"[np.float64(0.075), np.float64(0.07)]"
12,"[np.float64(0.035), np.float64(0.015)]"
13,"[0.0, 0.0]"
14,"[np.float64(0.065), np.float64(0.04)]"
15,"[np.float64(0.065), np.float64(0.035)]"
16,"[np.float64(0.065), np.float64(0.035)]"
17,"[np.float64(0.035), np.float64(0.015)]"
18,"[np.float64(1.0), np.float64(1.0)]"
19,"[np.float64(0.05), np.float64(0.02)]"
