0,"[0.0, 0.0]"
1,"[np.float64(0.715), np.float64(0.7)]"
2,"[np.float64(0.77), np.float64(0.765)]"
3,"[0.0, 0.0]"
4,"[np.float64(0.715), np.float64(0.7)]"
5,"[np.float64(0.715), np.float64(0.7)]"
6,"[0.0, 0.0]"
7,"[np.float64(1.0), np.float64(1.0)]"
8,"[np.float64(0.715), np.float64(0.7)]"
9,"[np.float64(1.0), np.float64(1.0)]"
10,"[np.float64(0.715), np.float64(0.7)]"
11,"[np.float64(0.715), np.float64(0.7)]"
12,"[np.float64(0.715), np.float64(0.7)]"
13,"[np.float64(0.715), np.float64(0.7)]"
14,"[0.0, 0.0]"
15,"[np.float64(0.67), np.float64(0.66)]"
16,"[np.float64(0.715), np.float64(0.7)]"
17,"[np.float64(0.715), np.float64(0.7)]"
18,"[0.0, 0.0]"
19,"[0.0, 0.0]"
